"Name","DriverName","PortName","Comment","Location"
"RICOH IM C3000 - 2. etg","PCL6 V4 Driver for Universal Print","10.133.0.8","RICOH C3000","2. etg"
"RICOH MP C3004 - 3/4. etg","PCL6 V4 Driver for Universal Print","10.133.0.9","RICOH C3004","3/4. etg"
